PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40629220,Machine learning-based QSAR and structure-based virtual screening guided discovery of novel mIDH1 inhibitors from natural products.,2025,Yalong Cheng,"Lintong Sanatorium Center of the People's Liberation Army Joint Logistic Support Force, Xi'an, Shaanxi Province, China.",N/A
40628949,"Design, synthesis and anti-cancer activity of novel 1,2,3-triazole hybrids of erlotinib against cervical cancer via MAPK signaling pathway.",2025,Zhengwei Hu; Ling Li; Lizeng Peng,"Henan Jiante Biotechnology Group Co., Ltd, No. 6 Huaxia Road, High-tech Development Zone, Luoyang, 471000, China.; Henan Jiahekang Biological Food Technology Co., Ltd., Luoyang, 471000, China.; Key Laboratory of Novel Food Resources Processing Ministry of Agriculture, Key Laboratory of Agro-Products Processing Technology of Shandong Province, Institute of Agro-Food Science and Technology, Shandong Academy of Agricultural Sciences, Jinan, 250100, China. penglizeng@sdnu.edu.cn.",penglizeng@sdnu.edu.cn.
40628905,Deciphering the role of crucial miRNAs involved in diabetic cardiomyopathy through a multiomics approach.,2025,Bhagyalakshmi Balakrishnan; Raghu Chandrashekar Hariharapura; Divyashree Somashekara; Fayaz Shaik Mahammad,"Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, 576104, India.; Department of Pharmaceutical Biotechnology, Manipal College of Pharmaceutical Sciences, Manipal Academy of Higher Education, Manipal, 576104, India.; Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, 576104, India. divyashree.ms@manipal.edu.; Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, 576104, India. fayaz.shaik@manipal.edu.",divyashree.ms@manipal.edu.
40628771,Tetrandrine regulates NAADP-mediated calcium signaling through a LIMP-2-dependent and sphingosine-mediated mechanism.,2025,Xiao Shen,"Canton Biologics Co., Ltd, Guangzhou, PR China.",N/A
40628257,Plasmodiumfalciparum protein kinase 6 and hemozoin formation are inhibited by a type II human kinase inhibitor exhibiting antimalarial activity.,2025,Jianwei Che; Jinhua Wang,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA 02215, USA; Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA 02115, USA.; Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA 02215, USA; Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA 02115, USA.",N/A
40628022,Zero-loss semiconductor material-enhanced ultrasensitive metasurface biosensor for ultrahigh-affinity assessment of antibody-drug conjugates.,2025,Rui Zhou; Hanlin Zhou,"Biosensor R&D Department, Liangzhun (Wuhan) Life Technology Co., Ltd., Wuhan, 430070, PR China.; Biosensor R&D Department, Liangzhun (Wuhan) Life Technology Co., Ltd., Wuhan, 430070, PR China.",N/A
40627389,Motilin stimulates food intake linked to gastric motility in ,2025,Hiroyuki Kaiya,"Division of Drug Discovery, Grandsoul Research Institute for Immunology, Inc., Uda, Nara 633-2221, Japan.",N/A
40627029,Recent insights into actinobacteria research in antimicrobial resistance: a review.,2025,Kavin Raja M; Subathra Devi C,"Department of Biotechnology, School of Bio Sciences and Technology, Vellore Institute of Technology, Vellore, 632014, Tamil Nadu, India.; Department of Biotechnology, School of Bio Sciences and Technology, Vellore Institute of Technology, Vellore, 632014, Tamil Nadu, India. csubathradevi@vit.ac.in.",csubathradevi@vit.ac.in.
40626960,Rational Design of CDK12/13 and BRD4 Molecular Glue Degraders.,2025,Zuzanna Kozicka; Nicolas Thomä,"Friedrich Miescher Institute for Biomedical Research, N/A, SWITZERLAND.; Friedrich Miescher Institute for Biomedical Research, N/A, SWITZERLAND.",N/A
40626955,Design and Characterization of Prodrugged Anti-CTLA-4 Antibodies.,2025,Srikanth Kotapati,"Bristol-Myers Squibb Company, Research and Development, UNITED STATES OF AMERICA.",N/A
40626899,Enabling ,2025,Nikita Chopra; Ara M Abramyan; Zeineb Si Chaib; Wei Chen; Yeyue Xiong; Anna Bochicchio; David Rinaldo; Steven V Jerome; Yuqi Zhang,"Schrödinger Inc, San Diego, California 92121, United States.; Schrödinger Inc, New York, New York 10036, United States.; Schrödinger GmbH, Munich 81669, Germany.; Schrödinger Inc, New York, New York 10036, United States.; Schrödinger Inc, San Diego, California 92121, United States.; Schrödinger GmbH, Munich 81669, Germany.; Schrödinger GmbH, Munich 81669, Germany.; Schrödinger Inc, New York, New York 10036, United States.; Schrödinger Inc, San Diego, California 92121, United States.",N/A
